slug,symbol,name,date,ranknow,open,high,low,close,volume,market_price,close_ratio,spread
bitcoin,BTC,Bitcoin,6/29/2013,1,94.66,99.99,93,94.99,0,1078198524,0.2847,6.99
bitcoin,BTC,Bitcoin,6/30/2013,1,95,98.12,94.22,96.61,0,1096957771,0.6128,3.9
bitcoin,BTC,Bitcoin,7/1/2013,1,97.51,97.66,86.3,88.05,0,1000065296,0.154,11.36
bitcoin,BTC,Bitcoin,7/2/2013,1,88.05,92.3,87.51,90.13,0,1024082228,0.547,4.79
bitcoin,BTC,Bitcoin,7/3/2013,1,90.4,90.98,76.98,77.53,0,881233116,0.0393,14
bitcoin,BTC,Bitcoin,7/4/2013,1,78.89,83.11,72,80.53,0,915618609,0.7678,11.11
bitcoin,BTC,Bitcoin,7/5/2013,1,79.99,80,65.53,68.43,0,778411179,0.2004,14.47
bitcoin,BTC,Bitcoin,7/6/2013,1,68.5,75,66.82,70.28,0,799741619,0.423,8.18
bitcoin,BTC,Bitcoin,7/7/2013,1,68.75,74.56,66.62,74.56,0,848838979,1,7.94
bitcoin,BTC,Bitcoin,7/8/2013,1,76.5,80,72.6,76.52,0,871457940,0.5297,7.4
bitcoin,BTC,Bitcoin,7/9/2013,1,76,78.3,72.52,76.69,0,873841849,0.7215,5.78
bitcoin,BTC,Bitcoin,7/10/2013,1,76.72,87,76.2,86.76,0,988957719,0.9778,10.8
bitcoin,BTC,Bitcoin,7/11/2013,1,88,90.28,85.08,88.98,0,1014650063,0.75,5.2
bitcoin,BTC,Bitcoin,7/12/2013,1,88.98,104,88.17,93.59,0,1067634684,0.3424,15.83
bitcoin,BTC,Bitcoin,7/13/2013,1,93.99,98.25,88.06,98.13,0,1119796120,0.9882,10.19
bitcoin,BTC,Bitcoin,7/14/2013,1,98.7,98.7,92.86,94.69,0,1080917760,0.3134,5.84
bitcoin,BTC,Bitcoin,7/15/2013,1,93.61,101.9,93.11,98.4,0,1123658944,0.6018,8.79
bitcoin,BTC,Bitcoin,7/16/2013,1,98.89,99.86,96.14,97.45,0,1113217032,0.3522,3.72
bitcoin,BTC,Bitcoin,7/17/2013,1,96.71,99.97,96.18,98.5,0,1125658000,0.6121,3.79
bitcoin,BTC,Bitcoin,7/18/2013,1,98.5,98.8,86.2,90.58,0,1035512825,0.3476,12.6
bitcoin,BTC,Bitcoin,7/19/2013,1,90.07,95.2,87.8,92.17,0,1054083771,0.5905,7.4
bitcoin,BTC,Bitcoin,7/20/2013,1,92,93.1,89.27,89.39,0,1022707665,0.0313,3.83
bitcoin,BTC,Bitcoin,7/21/2013,1,89.82,91.95,88,90.76,0,1038798980,0.6987,3.95
bitcoin,BTC,Bitcoin,7/22/2013,1,92,92,90.08,91.61,0,1048939081,0.7969,1.92
bitcoin,BTC,Bitcoin,7/23/2013,1,91.6,96.82,91.6,95.56,0,1094484058,0.7586,5.22
bitcoin,BTC,Bitcoin,7/24/2013,1,95.56,95.99,93,94.51,0,1082848325,0.505,2.99
bitcoin,BTC,Bitcoin,7/25/2013,1,94.5,97.33,93.87,96.9,0,1110587858,0.8757,3.46
bitcoin,BTC,Bitcoin,7/26/2013,1,96.95,97.47,96,96.02,0,1100902800,0.0136,1.47
bitcoin,BTC,Bitcoin,7/27/2013,1,96.02,97,93,94.12,0,1079491697,0.28,4
bitcoin,BTC,Bitcoin,7/28/2013,1,94.4,100.58,94,99.76,0,1144602838,0.8754,6.58
bitcoin,BTC,Bitcoin,7/29/2013,1,98.6,102.5,98.46,101.2,0,1161619140,0.6782,4.04
bitcoin,BTC,Bitcoin,7/30/2013,1,101.49,107.99,100.47,107.99,0,1240092366,1,7.52
